date,scheme_code,scheme_name,nav
2022-01-03,100000,SBI Mutual Fund Equity Fund 1,62.4356
2022-01-04,100000,SBI Mutual Fund Equity Fund 1,62.4296
2022-01-05,100000,SBI Mutual Fund Equity Fund 1,61.7665
2022-01-06,100000,SBI Mutual Fund Equity Fund 1,62.2811
2022-01-07,100000,SBI Mutual Fund Equity Fund 1,61.5172
2022-01-10,100000,SBI Mutual Fund Equity Fund 1,61.6491
2022-01-11,100000,SBI Mutual Fund Equity Fund 1,60.4339
2022-01-12,100000,SBI Mutual Fund Equity Fund 1,59.6273
2022-01-13,100000,SBI Mutual Fund Equity Fund 1,59.7479
2022-01-14,100000,SBI Mutual Fund Equity Fund 1,60.195
2022-01-17,100000,SBI Mutual Fund Equity Fund 1,60.3014
2022-01-18,100000,SBI Mutual Fund Equity Fund 1,60.2335
2022-01-19,100000,SBI Mutual Fund Equity Fund 1,60.0531
2022-01-20,100000,SBI Mutual Fund Equity Fund 1,59.1605
2022-01-21,100000,SBI Mutual Fund Equity Fund 1,58.7337
2022-01-24,100000,SBI Mutual Fund Equity Fund 1,58.4633
2022-01-25,100000,SBI Mutual Fund Equity Fund 1,59.0885
2022-01-26,100000,SBI Mutual Fund Equity Fund 1,59.2955
2022-01-27,100000,SBI Mutual Fund Equity Fund 1,58.2442
2022-01-28,100000,SBI Mutual Fund Equity Fund 1,58.4368
2022-01-31,100000,SBI Mutual Fund Equity Fund 1,58.2123
2022-02-01,100000,SBI Mutual Fund Equity Fund 1,57.8174
2022-02-02,100000,SBI Mutual Fund Equity Fund 1,58.1762
2022-02-03,100000,SBI Mutual Fund Equity Fund 1,58.783
2022-02-04,100000,SBI Mutual Fund Equity Fund 1,59.3371
2022-02-07,100000,SBI Mutual Fund Equity Fund 1,58.8376
2022-02-08,100000,SBI Mutual Fund Equity Fund 1,58.6565
2022-02-09,100000,SBI Mutual Fund Equity Fund 1,58.8547
2022-02-10,100000,SBI Mutual Fund Equity Fund 1,59.4357
2022-02-11,100000,SBI Mutual Fund Equity Fund 1,59.151
2022-02-14,100000,SBI Mutual Fund Equity Fund 1,59.0427
2022-02-15,100000,SBI Mutual Fund Equity Fund 1,58.3867
2022-02-16,100000,SBI Mutual Fund Equity Fund 1,57.685
2022-02-17,100000,SBI Mutual Fund Equity Fund 1,58.1597
2022-02-18,100000,SBI Mutual Fund Equity Fund 1,58.9571
2022-02-21,100000,SBI Mutual Fund Equity Fund 1,58.9166
2022-02-22,100000,SBI Mutual Fund Equity Fund 1,59.5149
2022-02-23,100000,SBI Mutual Fund Equity Fund 1,59.7342
2022-02-24,100000,SBI Mutual Fund Equity Fund 1,59.3481
2022-02-25,100000,SBI Mutual Fund Equity Fund 1,59.5667
2022-02-28,100000,SBI Mutual Fund Equity Fund 1,60.4924
