date,amfi_code,nav,scheme_name
2026-05-24,118632,64.0863,
2026-05-25,118632,64.7128,
2026-05-26,118632,64.2479,
2026-05-27,118632,63.9923,
2026-05-28,118632,64.8127,
2026-05-29,118632,64.925,
2026-05-30,118632,64.512,
2026-05-31,118632,63.8912,
2026-06-01,118632,64.9575,
2026-06-02,118632,63.8283,
2026-06-03,118632,63.6887,
2026-06-04,118632,64.4684,
2026-06-05,118632,64.6094,
2026-06-06,118632,64.6451,
2026-06-07,118632,64.1347,
2026-06-08,118632,62.9772,
2026-06-09,118632,65.3521,
2026-06-10,118632,63.9768,
2026-06-11,118632,64.5346,
2026-06-12,118632,64.5394,
2026-06-13,118632,63.4411,
2026-06-14,118632,63.2778,
2026-06-15,118632,64.4971,
2026-06-16,118632,63.4739,
2026-06-17,118632,64.3059,
2026-06-18,118632,64.5132,
2026-06-19,118632,64.6194,
2026-06-20,118632,64.2647,
2026-06-21,118632,63.2394,
2026-06-22,118632,64.5317,
2026-05-24,119092,51.3658,
2026-05-25,119092,52.2861,
2026-05-26,119092,51.8692,
2026-05-27,119092,52.5819,
2026-05-28,119092,51.2201,
2026-05-29,119092,52.6101,
2026-05-30,119092,51.6153,
2026-05-31,119092,52.274,
2026-06-01,119092,51.9719,
2026-06-02,119092,51.953,
2026-06-03,119092,52.2308,
2026-06-04,119092,52.0542,
2026-06-05,119092,52.4179,
2026-06-06,119092,51.957,
2026-06-07,119092,51.6134,
2026-06-08,119092,51.118,
2026-06-09,119092,52.5335,
2026-06-10,119092,52.3544,
2026-06-11,119092,52.5831,
2026-06-12,119092,52.783,
2026-06-13,119092,52.4623,
2026-06-14,119092,52.9953,
2026-06-15,119092,51.8813,
2026-06-16,119092,52.3815,
2026-06-17,119092,52.5069,
2026-06-18,119092,52.402,
2026-06-19,119092,52.1527,
2026-06-20,119092,51.721,
2026-06-21,119092,52.8827,
2026-06-22,119092,52.2934,
2026-05-24,119551,74.5245,
2026-05-25,119551,74.9454,
2026-05-26,119551,75.7569,
2026-05-27,119551,74.9502,
2026-05-28,119551,74.3292,
2026-05-29,119551,75.574,
2026-05-30,119551,75.039,
2026-05-31,119551,76.8216,
2026-06-01,119551,74.4043,
2026-06-02,119551,75.0026,
2026-06-03,119551,76.4409,
2026-06-04,119551,75.6985,
2026-06-05,119551,75.1506,
2026-06-06,119551,75.6552,
2026-06-07,119551,76.5203,
2026-06-08,119551,75.3286,
