investor_id,age,age_group,gender,sip_amount,city_tier,state
100000,33,26-35,Male,2000.0,B30,Gujarat
100001,48,36-50,Female,7000.0,B30,Haryana
100002,40,36-50,Male,10000.0,T30,Maharashtra
100003,19,18-25,Female,3000.0,T30,Uttar Pradesh
100004,35,26-35,Female,3000.0,T30,Karnataka
100005,30,26-35,Male,1500.0,T30,Maharashtra
100006,31,26-35,Male,1500.0,T30,Gujarat
100007,34,26-35,Female,2500.0,T30,Maharashtra
100008,45,36-50,Female,39000.0,T30,Delhi
100009,25,18-25,Female,500.0,B30,Gujarat
100010,36,36-50,Male,6500.0,T30,Maharashtra
100011,36,36-50,Female,6000.0,T30,Madhya Pradesh
100012,31,26-35,Male,4500.0,T30,Telangana
100013,27,26-35,Male,4000.0,T30,Maharashtra
100014,26,26-35,Female,2500.0,B30,Gujarat
100015,29,26-35,Female,8000.0,T30,Tamil Nadu
100016,41,36-50,Female,3000.0,B30,Gujarat
100017,30,26-35,Female,13500.0,B30,Gujarat
100018,33,26-35,Male,6000.0,T30,Delhi
100019,22,18-25,Male,1500.0,T30,Maharashtra
100020,29,26-35,Female,3000.0,B30,Tamil Nadu
100021,36,36-50,Male,14500.0,B30,Maharashtra
100022,18,18-25,Male,1000.0,B30,Gujarat
100023,44,36-50,Male,7500.0,B30,Maharashtra
100024,28,26-35,Female,4500.0,T30,Gujarat
100025,51,50+,Male,5500.0,T30,Tamil Nadu
100026,38,36-50,Female,10000.0,B30,West Bengal
100027,18,18-25,Male,3000.0,T30,Maharashtra
100028,36,36-50,Female,9500.0,B30,Uttar Pradesh
100029,30,26-35,Male,8500.0,T30,Maharashtra
100030,36,36-50,Female,8500.0,T30,Maharashtra
100031,50,36-50,Male,5500.0,B30,Karnataka
100032,41,36-50,Male,3500.0,T30,Andhra Pradesh
100033,31,26-35,Male,4500.0,T30,Andhra Pradesh
100034,20,18-25,Female,2500.0,T30,Karnataka
100035,42,36-50,Female,2500.0,T30,West Bengal
100036,39,36-50,Male,9500.0,T30,Delhi
100037,45,36-50,Female,4500.0,T30,Uttar Pradesh
100038,32,26-35,Female,2500.0,T30,Tamil Nadu
100039,36,36-50,Male,8000.0,T30,Tamil Nadu
100040,31,26-35,Female,1500.0,T30,Karnataka
100041,34,26-35,Male,10500.0,B30,Telangana
100042,18,18-25,Male,3500.0,T30,Karnataka
100043,37,36-50,Male,3500.0,B30,Uttar Pradesh
100044,37,36-50,Female,6500.0,T30,Rajasthan
100045,28,26-35,Male,5000.0,T30,Tamil Nadu
100046,40,36-50,Male,4500.0,T30,Karnataka
100047,42,36-50,Female,5500.0,T30,Delhi
100048,48,36-50,Female,7000.0,B30,Uttar Pradesh
100049,23,18-25,Female,2000.0,T30,Maharashtra
100050,40,36-50,Male,7000.0,T30,Tamil Nadu
100051,47,36-50,Male,7500.0,B30,Gujarat
100052,30,26-35,Female,5500.0,B30,Maharashtra
100053,47,36-50,Female,6000.0,T30,Haryana
100054,26,26-35,Female,6000.0,T30,Karnataka
100055,34,26-35,Female,9000.0,T30,Karnataka
100056,18,18-25,Female,3000.0,T30,Delhi
100057,18,18-25,Female,5500.0,T30,Tamil Nadu
100058,18,18-25,Male,1000.0,B30,Maharashtra
100059,48,36-50,Male,5000.0,T30,Tamil Nadu
100060,26,26-35,Male,5500.0,T30,Gujarat
100061,26,26-35,Female,5000.0,B30,Uttar Pradesh
100062,38,36-50,Female,6000.0,T30,West Bengal
100063,26,26-35,Male,6500.0,T30,Maharashtra
100064,46,36-50,Male,8500.0,B30,Uttar Pradesh
100065,52,50+,Female,10000.0,T30,Gujarat
100066,18,18-25,Male,1500.0,T30,Gujarat
100067,39,36-50,Male,7500.0,T30,Gujarat
100068,18,18-25,Male,2000.0,T30,Delhi
100069,20,18-25,Female,3500.0,B30,Maharashtra
100070,38,36-50,Male,10000.0,T30,Tamil Nadu
100071,24,18-25,Male,1500.0,T30,Karnataka
100072,36,36-50,Female,13500.0,T30,Maharashtra
100073,34,26-35,Male,4500.0,B30,Karnataka
100074,18,18-25,Male,1000.0,B30,Delhi
100075,40,36-50,Female,6500.0,T30,Gujarat
100076,36,36-50,Other,29500.0,B30,Kerala
100077,34,26-35,Male,4000.0,T30,Tamil Nadu
100078,27,26-35,Male,5000.0,T30,Tamil Nadu
100079,37,36-50,Male,8500.0,B30,Maharashtra
100080,21,18-25,Male,2000.0,T30,Karnataka
100081,23,18-25,Male,5000.0,B30,Rajasthan
100082,37,36-50,Male,11500.0,T30,Tamil Nadu
100083,44,36-50,Male,11000.0,T30,Gujarat
100084,29,26-35,Female,4000.0,B30,Rajasthan
100085,38,36-50,Male,11000.0,T30,Gujarat
100086,36,36-50,Female,6000.0,T30,Haryana
100087,38,36-50,Male,9500.0,T30,Karnataka
100088,27,26-35,Female,15500.0,T30,West Bengal
100089,32,26-35,Male,11500.0,T30,Delhi
100090,33,26-35,Male,4000.0,T30,Gujarat
100091,48,36-50,Female,8500.0,T30,Tamil Nadu
100092,22,18-25,Female,1500.0,T30,Maharashtra
100093,19,18-25,Male,2000.0,B30,Telangana
100094,63,50+,Female,2000.0,B30,Andhra Pradesh
100095,37,36-50,Female,12500.0,T30,Maharashtra
100096,39,36-50,Male,4500.0,B30,Kerala
100097,40,36-50,Male,7000.0,T30,Maharashtra
100098,41,36-50,Female,5500.0,B30,Karnataka
100099,42,36-50,Male,13500.0,T30,Gujarat
100100,41,36-50,Male,16500.0,T30,Maharashtra
100101,45,36-50,Male,17000.0,T30,Uttar Pradesh
100102,35,26-35,Female,2000.0,T30,West Bengal
100103,44,36-50,Female,11000.0,B30,Telangana
100104,52,50+,Female,3500.0,B30,Maharashtra
100105,35,26-35,Male,5000.0,T30,Telangana
100106,38,36-50,Male,13000.0,T30,Maharashtra
100107,28,26-35,Male,4000.0,T30,Karnataka
100108,32,26-35,Female,5000.0,B30,Maharashtra
100109,37,36-50,Male,5000.0,T30,Kerala
100110,30,26-35,Female,8500.0,B30,Delhi
100111,34,26-35,Female,4000.0,T30,Karnataka
100112,37,36-50,Female,5500.0,T30,Karnataka
100113,49,36-50,Female,9000.0,T30,Karnataka
100114,25,18-25,Male,3500.0,T30,Karnataka
100115,38,36-50,Male,3000.0,T30,Delhi
100116,27,26-35,Female,6000.0,T30,Telangana
100117,41,36-50,Male,5500.0,B30,Gujarat
100118,42,36-50,Male,11000.0,T30,West Bengal
100119,50,36-50,Male,5500.0,B30,Telangana
100120,29,26-35,Male,2500.0,T30,Rajasthan
100121,35,26-35,Male,3000.0,T30,Madhya Pradesh
100122,42,36-50,Female,8000.0,T30,Madhya Pradesh
100123,40,36-50,Male,10000.0,T30,Maharashtra
100124,18,18-25,Male,1500.0,T30,Rajasthan
100125,27,26-35,Male,4500.0,T30,Telangana
100126,39,36-50,Female,5000.0,T30,Gujarat
100127,31,26-35,Female,3500.0,T30,Tamil Nadu
100128,42,36-50,Female,5500.0,T30,Haryana
100129,44,36-50,Male,5000.0,T30,Maharashtra
100130,31,26-35,Male,2000.0,B30,Gujarat
100131,40,36-50,Male,7000.0,T30,Andhra Pradesh
100132,48,36-50,Male,14500.0,T30,Delhi
100133,44,36-50,Male,7500.0,T30,Maharashtra
100134,26,26-35,Male,3500.0,T30,Andhra Pradesh
100135,32,26-35,Female,7000.0,T30,Kerala
100136,34,26-35,Female,3500.0,T30,West Bengal
100137,24,18-25,Male,2500.0,T30,West Bengal
100138,44,36-50,Female,3000.0,T30,Karnataka
100139,27,26-35,Male,4500.0,T30,Rajasthan
100140,32,26-35,Female,3500.0,T30,Gujarat
100141,44,36-50,Female,2500.0,B30,Gujarat
100142,29,26-35,Male,3500.0,T30,Maharashtra
100143,30,26-35,Male,1000.0,B30,Karnataka
100144,37,36-50,Male,5000.0,T30,Gujarat
100145,29,26-35,Male,6000.0,T30,Gujarat
100146,49,36-50,Male,4500.0,B30,Tamil Nadu
100147,24,18-25,Male,1500.0,B30,Karnataka
100148,18,18-25,Female,1000.0,T30,West Bengal
100149,42,36-50,Male,8500.0,B30,Karnataka
100150,30,26-35,Female,3500.0,T30,Maharashtra
100151,25,18-25,Male,2000.0,T30,Uttar Pradesh
100152,37,36-50,Female,14500.0,T30,Maharashtra
100153,38,36-50,Male,4000.0,T30,Madhya Pradesh
100154,26,26-35,Male,9500.0,T30,Telangana
100155,45,36-50,Male,6500.0,T30,Andhra Pradesh
100156,42,36-50,Male,14000.0,B30,Gujarat
100157,53,50+,Male,5000.0,B30,Karnataka
100158,29,26-35,Female,1500.0,T30,Maharashtra
100159,35,26-35,Male,2000.0,T30,Karnataka
100160,36,36-50,Male,6500.0,B30,Gujarat
100161,30,26-35,Male,1500.0,T30,Rajasthan
100162,38,36-50,Male,10000.0,T30,Maharashtra
100163,38,36-50,Male,12000.0,T30,Gujarat
100164,38,36-50,Male,3000.0,T30,Gujarat
100165,30,26-35,Male,3500.0,B30,Uttar Pradesh
100166,31,26-35,Female,4000.0,B30,Tamil Nadu
100167,28,26-35,Male,6500.0,B30,Maharashtra
100168,26,26-35,Male,5500.0,B30,Delhi
100169,33,26-35,Male,3500.0,T30,Telangana
100170,49,36-50,Female,3000.0,T30,Karnataka
100171,54,50+,Male,5500.0,T30,Delhi
100172,47,36-50,Male,7000.0,B30,Delhi
100173,29,26-35,Male,2500.0,B30,Gujarat
100174,38,36-50,Male,26000.0,T30,Maharashtra
100175,18,18-25,Male,2500.0,B30,Maharashtra
100176,32,26-35,Female,3000.0,T30,Madhya Pradesh
100177,30,26-35,Male,3000.0,T30,Gujarat
100178,52,50+,Female,8000.0,T30,Gujarat
100179,36,36-50,Male,15000.0,T30,Delhi
100180,34,26-35,Male,6500.0,B30,Kerala
100181,33,26-35,Female,8000.0,B30,Gujarat
100182,31,26-35,Male,2000.0,T30,Gujarat
100183,39,36-50,Male,7000.0,T30,Kerala
100184,27,26-35,Male,2000.0,T30,West Bengal
100185,39,36-50,Male,12000.0,B30,Uttar Pradesh
100186,48,36-50,Female,12500.0,T30,Delhi
100187,35,26-35,Male,2500.0,T30,Karnataka
100188,30,26-35,Female,3000.0,T30,Tamil Nadu
100189,33,26-35,Male,2500.0,B30,Maharashtra
100190,46,36-50,Male,8500.0,T30,Telangana
100191,35,26-35,Male,4000.0,B30,Karnataka
100192,27,26-35,Female,4500.0,T30,Uttar Pradesh
100193,42,36-50,Other,6000.0,T30,Telangana
100194,26,26-35,Male,13500.0,T30,Maharashtra
100195,31,26-35,Male,8000.0,T30,Tamil Nadu
100196,36,36-50,Female,6500.0,T30,Gujarat
100197,25,18-25,Male,1000.0,B30,Gujarat
100198,18,18-25,Male,1000.0,T30,Uttar Pradesh
100199,38,36-50,Female,3000.0,T30,Madhya Pradesh
100200,18,18-25,Other,2500.0,B30,West Bengal
100201,24,18-25,Male,2000.0,T30,Gujarat
100202,41,36-50,Male,15500.0,T30,Uttar Pradesh
100203,38,36-50,Female,11500.0,T30,Gujarat
100204,32,26-35,Male,1000.0,T30,Karnataka
100205,25,18-25,Male,1500.0,T30,Maharashtra
100206,29,26-35,Male,1500.0,B30,Telangana
100207,39,36-50,Female,6000.0,T30,Tamil Nadu
100208,32,26-35,Male,5500.0,B30,Rajasthan
100209,21,18-25,Male,2500.0,B30,Gujarat
