transaction_id,investor_id,scheme_code,transaction_type,amount,transaction_date,kyc_status,state
TXN10000,500634,120999,Redemption,11117.36,2026/06/15,Pending,Delhi
TXN10001,500841,120999,Lumpsum,6144.88,2026/05/15,Yes,Karnataka
TXN10002,500864,118632,redemption,11432.55,2026-06-15,Yes,Gujarat
TXN10003,500117,120503,lumpsum,20561.22,2026/06/10,no,Maharashtra
TXN10004,500805,119551,Redemption,25438.61,2026/05/20,yes,Tamil Nadu
TXN10005,500908,120123,Sip,20264.48,2026-06-01,yes,Uttar Pradesh
TXN10006,500158,120123,Redemption,28638.87,10-06-2026,yes,Delhi
TXN10007,500814,120503,redemption,40391.63,2026-06-10,yes,Gujarat
TXN10008,500227,120123,lumpsum,11755.09,2026-06-10,N,Gujarat
TXN10009,500876,120456,Lumpsum,12941.33,2026/05/15,N,Karnataka
TXN10010,500215,119551,redemption,-5000.0,2026-06-01,PENDING,Karnataka
TXN10011,500947,120789,redemption,26907.27,15-06-2026,No,Tamil Nadu
TXN10012,500695,120123,Sip,27993.97,2026/05/15,Pending,Uttar Pradesh
TXN10013,500014,118632,LUMP-SUM,6328.54,2026-06-15,Pending,Tamil Nadu
TXN10014,500156,120456,lumpsum,21176.41,2026-06-15,yes,Maharashtra
TXN10015,500647,120123,sip,27170.71,15-05-2026,PENDING,Maharashtra
TXN10016,500260,120456,redemption,17262.88,2026/06/10,no,Tamil Nadu
TXN10017,500156,119999,LUMP-SUM,23474.01,15-06-2026,Y,Uttar Pradesh
TXN10018,500046,120789,sip,16748.33,2026-06-10,No,Tamil Nadu
TXN10019,500323,120841,lumpsum,2831.45,2026-05-20,PENDING,Uttar Pradesh
TXN10020,500843,118632,SIP,25493.47,2026/06/10,No,Uttar Pradesh
TXN10021,500684,118632,LUMP-SUM,28251.06,01-06-2026,No,West Bengal
TXN10022,500129,119551,PURCHASE,22345.01,2026-06-15,No,Delhi
TXN10023,500410,120456,SIP,5455.03,2026/06/15,PENDING,Uttar Pradesh
TXN10024,500094,120503,Sip,7488.21,2026/06/01,yes,Karnataka
TXN10025,500626,118632,Redemption,0.0,2026-06-01,Pending,Uttar Pradesh
TXN10026,500754,120456,Lumpsum,22699.77,2026-05-15,Pending,Uttar Pradesh
TXN10027,500931,120456,PURCHASE,27683.9,2026/05/15,yes,Uttar Pradesh
TXN10028,500291,119092,Sip,19244.86,2026-06-15,No,West Bengal
TXN10029,500793,119092,lumpsum,24405.36,2026/06/10,Y,West Bengal
TXN10030,500810,120841,Sip,6323.59,15-06-2026,Yes,Maharashtra
TXN10031,500282,119999,Redemption,16458.62,2026/06/01,PENDING,West Bengal
TXN10032,500068,120841,lumpsum,1301.29,2026/06/15,Yes,Karnataka
TXN10033,500659,120123,PURCHASE,7282.19,2026/06/10,no,Karnataka
TXN10034,500010,120503,Redemption,23786.74,2026-05-15,yes,West Bengal
TXN10035,500253,120123,sip,12604.05,2026/06/01,Y,Tamil Nadu
TXN10036,500841,120999,Lumpsum,27093.82,01-06-2026,PENDING,Delhi
TXN10037,500871,120123,PURCHASE,20379.6,2026-05-15,yes,West Bengal
TXN10038,500549,119551,sip,42344.22,2026/05/20,No,Uttar Pradesh
TXN10039,500133,120123,PURCHASE,15937.65,20-05-2026,Pending,Gujarat
TXN10040,500711,120841,lumpsum,935.95,2026/05/20,Yes,Delhi
TXN10041,500022,118632,sip,14654.7,2026-06-10,N,Delhi
TXN10042,500814,118632,Lumpsum,5369.84,2026/06/10,N,Karnataka
TXN10043,500345,119092,Redemption,24771.8,2026-06-15,Y,Delhi
TXN10044,500301,120503,redemption,15419.8,2026-06-15,No,West Bengal
TXN10045,500362,120503,Sip,13627.28,2026-06-15,no,Uttar Pradesh
TXN10046,500395,119551,SIP,13758.68,2026/06/15,Yes,Uttar Pradesh
TXN10047,500217,120841,Lumpsum,22403.41,20-05-2026,No,Maharashtra
TXN10048,500140,119092,sip,10475.38,2026/05/20,Yes,Uttar Pradesh
TXN10049,500615,120999,redemption,22770.5,20-05-2026,Y,Uttar Pradesh
TXN10050,500957,120503,Lumpsum,-1200.0,10-06-2026,Y,Karnataka
TXN10051,500209,118632,sip,11578.58,2026/06/10,no,Uttar Pradesh
TXN10052,500984,120123,LUMP-SUM,5739.53,20-05-2026,N,Maharashtra
TXN10053,500992,120123,LUMP-SUM,9870.35,2026-05-20,No,Gujarat
TXN10054,500622,119092,Lumpsum,22101.09,2026/05/15,PENDING,West Bengal
TXN10055,500615,120841,LUMP-SUM,15924.79,2026/05/15,N,Karnataka
TXN10056,500827,120841,sip,21300.75,2026-05-20,No,Gujarat
TXN10057,500682,119999,sip,32629.37,2026/06/01,N,Karnataka
TXN10058,500459,120789,Lumpsum,17309.54,15-05-2026,PENDING,Tamil Nadu
TXN10059,500355,120503,redemption,6910.63,2026/06/15,Pending,Delhi
TXN10060,500323,120841,Redemption,25574.24,2026/06/01,Pending,Tamil Nadu
TXN10061,500132,118632,PURCHASE,15513.61,2026-05-15,no,Uttar Pradesh
TXN10062,500887,119092,redemption,23724.47,15-06-2026,Pending,Gujarat
TXN10063,500804,120999,lumpsum,25661.99,2026/06/15,Pending,Uttar Pradesh
TXN10064,500839,119999,sip,5409.92,2026/06/15,yes,Delhi
TXN10065,500126,120456,lumpsum,28820.05,2026-05-15,Yes,Karnataka
TXN10066,500105,119551,redemption,24051.22,20-05-2026,yes,Delhi
